name,link,code,animal_proportion,animal_decile
Sokeri,Sokeri,1,0.00,0.0
Siirappi,Siirappi,3,0.00,0.0
Hunaja,Hunaja,4,1.00,1.0
Makeinen karamelli,Makeinen karamelli,5,0.00,0.0
Suklaa keskiarvo,Suklaa keskiarvo,6,0.15,0.2
Suklaakonvehti,Suklaakonvehti,7,0.20,0.2
Lakritsi,Lakritsi,8,0.00,0.0
"Kaakaojauhe, sokeroimaton","Kaakaojauhe, sokeroimaton",20,0.00,0.0
Kaakaojauhe sokeroitu,Kaakaojauhe sokeroitu,21,0.00,0.0
Hiiva,Hiiva,26,0.00,0.0
Maissitärkkelys,Maissitärkkelys,27,0.00,0.0
Sinappi,Sinappi,28,0.00,0.0
Lihaliemi laimennettu,Lihaliemi laimennettu,29,1.00,1.0
Ruokasuola jodioitu,Ruokasuola jodioitu,30,0.00,0.0
Soijakastike,Soijakastike,31,0.00,0.0
Suklaa tumma,Suklaa tumma,32,0.00,0.0
Maitosuklaa,Maitosuklaa,33,0.20,0.2
Mineraalisuola keskiarvo,Mineraalisuola keskiarvo,36,0.00,0.0
Ruismallas,Ruismallas,43,0.00,0.0
Ksylitolipurukumi,Ksylitolipurukumi,65,0.00,0.0
Purukumi,Purukumi,66,0.00,0.0
Leivinjauhe,Leivinjauhe,74,0.00,0.0
Kalaliemi laimennettu,Kalaliemi laimennettu,75,0.25,0.3
Ruokasuola jodioimaton vuorisuola,Ruokasuola jodioimaton vuorisuola,79,0.00,0.0
Ruisjauho kokojyväjauho,Ruisjauho kokojyväjauho,100,0.00,0.0
Ruishiutale,Ruishiutale,103,0.00,0.0
Vehnäjauho puolikarkea,Vehnäjauho puolikarkea,110,0.00,0.0
Grahamjauho,Grahamjauho,111,0.00,0.0
Mannasuurimo,Mannasuurimo,112,0.00,0.0
Mannasuurimo tumma,Mannasuurimo tumma,113,0.00,0.0
Vehnähiutale,Vehnähiutale,114,0.00,0.0
Vehnälese,Vehnälese,116,0.00,0.0
"Makaroni, pasta","Makaroni, pasta",117,0.00,0.0
Makaroni tumma,Makaroni tumma,119,0.00,0.0
"Nuudeli, vehnä-","Nuudeli, vehnä-",120,0.00,0.0
Spagetti,Spagetti,121,0.00,0.0
"Makaroni tumma, suolaton keitinvesi","Makaroni tumma, suolaton keitinvesi",123,0.00,0.0
